iter	Passed	Remaining
455	854	1019
456	856	1017
457	857	1014
458	859	1012
459	860	1010
460	862	1008
461	863	1005
462	865	1003
463	867	1001
464	868	999
465	869	996
466	871	994
467	873	992
468	874	990
469	875	987
470	877	985
471	879	983
472	880	981
473	882	979
474	883	976
475	885	974
476	886	972
477	888	970
478	889	967
479	891	965
480	892	963
481	894	961
482	895	958
483	897	956
484	898	954
485	900	952
486	901	949
487	903	948
488	905	945
489	906	943
490	908	941
491	909	939
492	911	937
493	912	934
494	914	932
495	915	930
496	917	928
497	918	925
498	919	923
499	921	921
500	923	919
501	924	917
502	925	914
503	927	912
504	928	910
505	930	908
506	931	905
507	932	903
508	934	901
509	936	899
510	937	897
511	939	894
512	941	893
513	942	891
514	944	889
515	945	886
516	947	884
517	948	882
518	950	880
519	951	878
520	953	876
521	954	874
522	955	871
523	957	869
524	959	867
525	960	865
526	962	863
527	963	861
528	965	859
529	966	857
530	968	855
531	969	852
532	970	850
533	972	848
534	973	846
535	975	844
536	976	841
537	977	839
538	979	837
539	980	835
540	982	833
541	983	831
542	985	829
543	987	827
544	989	825
545	990	823
546	992	822
547	994	819
548	995	817
549	997	816
550	998	813
551	1000	812
552	1002	810
553	1004	809
554	1006	807
555	1008	805
556	1010	803
557	1011	801
558	1012	799
559	1014	797
560	1015	795
561	1017	792
562	1018	790
563	1020	788
564	1021	786
565	1023	784
566	1024	782
567	1025	780
568	1027	778
569	1029	776
570	1031	774
571	1032	772
572	1034	770
573	1036	769
574	1037	767
575	1039	765
576	1041	763
577	1043	761
578	1044	759
579	1046	757
580	1047	755
581	1049	753
582	1050	751
583	1051	749
584	1053	747
585	1054	745
586	1056	743
587	1058	741
588	1059	739
589	1061	737
590	1062	735
591	1063	733
592	1065	731
593	1066	729
594	1068	726
595	1069	724
596	1070	722
597	1072	721
598	1074	719
599	1075	717
600	1077	715
601	1086	718
602	1087	716
603	1088	713
604	1090	711
605	1092	710
606	1093	707
607	1094	705
608	1096	703
609	1097	701
610	1099	699
611	1100	697
612	1101	695
613	1103	693
614	1105	691
615	1106	689
616	1107	687
617	1109	685
618	1111	683
619	1112	681
620	1113	679
621	1115	677
622	1117	675
623	1118	673
624	1119	671
625	1121	669
626	1122	668
627	1124	666
628	1126	664
629	1127	662
630	1129	660
631	1130	658
632	1132	656
633	1134	654
634	1135	652
635	1137	650
636	1138	648
637	1140	646
638	1141	645
639	1143	642
640	1144	641
641	1145	638
642	1147	637
643	1148	635
644	1150	633
645	1151	631
646	1153	629
647	1154	627
648	1156	625
649	1158	623
650	1160	621
651	1161	619
652	1163	618
653	1164	616
654	1166	614
655	1167	612
656	1169	610
657	1170	608
658	1172	606
659	1174	604
660	1175	603
661	1177	601
662	1179	599
663	1180	597
664	1182	595
665	1184	593
666	1186	592
667	1187	590
668	1189	588
669	1191	586
670	1193	585
671	1194	583
672	1196	581
673	1198	579
674	1199	577
675	1201	575
676	1202	573
677	1204	571
678	1205	570
679	1207	568
680	1208	566
681	1210	564
682	1211	562
683	1213	560
684	1215	558
685	1216	556
686	1218	555
687	1219	553
688	1221	551
689	1223	549
690	1224	547
691	1226	545
692	1228	544
693	1230	542
694	1231	540
695	1233	538
696	1234	536
697	1236	534
698	1237	533
699	1239	531
700	1241	529
701	1242	527
702	1244	525
703	1245	523
704	1247	522
705	1249	520
706	1250	518
707	1252	516
708	1254	514
709	1255	512
710	1257	511
711	1259	509
712	1260	507
713	1262	505
714	1264	503
715	1265	502
716	1267	500
717	1268	498
718	1270	496
719	1271	494
720	1273	492
721	1274	490
722	1276	488
723	1277	487
724	1279	485
725	1281	483
726	1282	481
727	1284	479
728	1285	478
729	1287	476
730	1288	474
731	1290	472
732	1291	470
733	1293	468
734	1295	466
735	1297	465
736	1298	463
737	1300	461
738	1301	459
739	1303	457
740	1304	456
741	1306	454
742	1307	452
743	1309	450
744	1311	448
745	1312	446
746	1313	444
747	1315	443
748	1317	441
749	1318	439
750	1320	437
751	1322	435
752	1323	434
753	1325	432
754	1327	430
755	1329	429
756	1331	427
757	1332	425
758	1334	423
759	1336	422
760	1337	420
761	1339	418
762	1341	416
763	1342	414
764	1344	413
765	1346	411
766	1347	409
767	1349	407
768	1351	405
769	1353	404
770	1354	402
771	1356	400
772	1358	398
773	1360	397
774	1361	395
775	1363	393
776	1365	391
777	1366	389
778	1368	388
779	1369	386
780	1371	384
781	1373	382
782	1374	380
783	1376	379
784	1377	377
785	1379	375
786	1380	373
787	1382	372
788	1384	370
789	1386	368
790	1388	366
791	1389	364
792	1391	363
793	1392	361
794	1394	359
795	1396	357
796	1397	356
797	1399	354
798	1401	352
799	1402	350
800	1404	348
801	1405	347
802	1407	345
803	1408	343
804	1410	341
805	1412	339
806	1413	338
807	1415	336
808	1417	334
809	1419	332
810	1420	331
811	1422	329
812	1423	327
813	1425	325
814	1426	323
815	1428	322
816	1430	320
817	1431	318
818	1433	316
819	1435	315
820	1436	313
821	1438	311
822	1440	309
823	1441	307
824	1443	306
825	1444	304
826	1446	302
827	1448	300
828	1450	299
829	1451	297
830	1453	295
831	1455	293
832	1456	292
833	1458	290
834	1459	288
835	1461	286
836	1462	284
837	1464	283
838	1466	281
839	1467	279
840	1469	277
841	1470	275
842	1472	274
843	1473	272
844	1475	270
845	1476	268
846	1479	267
847	1480	265
848	1482	263
849	1483	261
850	1485	260
851	1486	258
852	1488	256
853	1489	254
854	1491	252
855	1492	251
856	1494	249
857	1496	247
858	1497	245
859	1499	244
860	1500	242
861	1502	240
862	1504	238
863	1506	237
864	1507	235
865	1509	233
866	1510	231
867	1512	230
868	1514	228
869	1515	226
870	1517	224
871	1518	222
872	1520	221
873	1521	219
874	1523	217
875	1524	215
876	1526	214
877	1527	212
878	1529	210
879	1531	208
880	1532	207
881	1534	205
882	1536	203
883	1537	201
884	1539	200
885	1541	198
886	1543	196
887	1544	194
888	1546	193
889	1547	191
890	1549	189
891	1550	187
892	1552	186
893	1553	184
894	1555	182
895	1557	180
896	1558	178
897	1560	177
898	1562	175
899	1564	173
900	1565	172
901	1567	170
902	1569	168
903	1570	166
904	1571	165
905	1573	163
906	1575	161
907	1576	159
908	1578	157
909	1580	156
910	1581	154
911	1583	152
912	1585	151
913	1586	149
914	1587	147
915	1589	145
916	1590	143
917	1592	142
918	1593	140
919	1595	138
920	1596	136
921	1598	135
922	1599	133
923	1601	131
924	1602	129
925	1604	128
926	1605	126
927	1607	124
928	1609	123
929	1611	121
930	1613	119
931	1615	117
932	1616	116
933	1618	114
934	1620	112
935	1621	110
936	1623	109
937	1625	107
938	1626	105
939	1628	103
940	1630	102
941	1631	100
942	1633	98
943	1635	96
944	1637	95
945	1638	93
946	1639	91
947	1641	90
948	1643	88
949	1644	86
950	1646	84
951	1647	83
952	1649	81
953	1650	79
954	1652	77
955	1654	76
956	1655	74
957	1657	72
958	1658	70
959	1660	69
960	1662	67
961	1663	65
962	1665	63
963	1667	62
964	1668	60
965	1670	58
966	1671	57
967	1673	55
968	1674	53
969	1676	51
970	1677	50
971	1679	48
972	1681	46
973	1682	44
974	1684	43
975	1685	41
976	1687	39
977	1688	37
978	1690	36
979	1692	34
980	1693	32
981	1695	31
982	1697	29
983	1698	27
984	1700	25
985	1701	24
986	1703	22
987	1705	20
988	1706	18
989	1708	17
990	1710	15
991	1711	13
992	1712	12
993	1714	10
994	1716	8
995	1717	6
996	1719	5
997	1720	3
998	1722	1
999	1723	0
